location,tillage,cover.trt,depth,crop,yield,CV,MYP,om_2015,cec_2015,ph_2015,Phosphorus_2015,Potassium_2015,Calcium_2015,Magnesium_2015,d_om,d_cec,d_ph,d_P,mean.vmc,meanT
MI,rt,none,0_10,maize,6831,0.265177238,4998.289157,17.54166667,6.85,5.820833333,40.33333333,131.8333333,807.625,128.75,-1.125,0.425,0.2125,5.166666667,0.186147721,24.24613298
MI,rt,rye,0_10,maize,6625.75,0.324798708,5257.262106,18,7.429166667,5.733333333,39.58333333,126.4583333,845.25,140.8333333,-1.666666667,0.395833333,0.108333333,0.666666667,0.189943058,23.61996394
MI,cp,none,0_10,soybean,2636.25,0.418363227,2255.875001,15.95833333,6.4125,5.908333333,47.91666667,112.5416667,769,128.2083333,-4.125,0.129166667,0.183333333,3.083333333,0.161006363,23.7059612
MI,cp,rye,0_10,soybean,2726,0.331034466,2255.875,17,6.829166667,5.8625,39.70833333,112.875,817.3333333,138.0833333,-0.416666667,-0.054166667,-0.004166667,7.125,0.175851326,23.90036204
MI,rt,none,0_10,soybean,2666.75,0.446599443,2255.874998,17.54166667,6.85,5.820833333,40.33333333,131.8333333,807.625,128.75,-1.125,0.425,0.2125,5.166666667,0.186147721,24.24613298
MI,rt,rye,0_10,soybean,2310.5,0.401723431,2255.875001,18,7.429166667,5.733333333,39.58333333,126.4583333,845.25,140.8333333,-1.666666667,0.395833333,0.108333333,0.666666667,0.189943058,23.61996394
MN,cp,none,0_10,maize,9265.75,0.297904057,6702.572594,43.66666667,14.56666667,6.122222222,26,115.6666667,1795,399,2.481481481,0.777777778,-0.174074074,-11.62962963,0.178809433,21.73045674
MN,cp,rye,0_10,maize,9104.5,0.244529625,7205.784982,48.66666667,15.01666667,6.116666667,30.33333333,143.3333333,1863.5,391.6666667,14.11111111,0.85,-0.25,5.777777778,0.165563852,21.43922114
MN,rt,none,0_10,maize,8777,0.271040482,6828.260202,43.5,14.85,6.29,26.7,117.6,1875.8,407.9,4.5,1.53,-0.216666667,-9.833333333,0.211785632,21.5138299
MN,rt,rye,0_10,maize,9643,0.239621817,7051.362157,44.25,14.875,6.175,25.25,136,1858.25,401.5,1.416666667,-0.025,0.133333333,-16.16666667,0.213191931,21.64265051
MN,cp,none,0_10,soybean,3115.5,0.292475597,1892.75,43.66666667,14.56666667,6.122222222,26,115.6666667,1795,399,2.481481481,0.777777778,-0.174074074,-11.62962963,0.178809433,21.73045674
MN,cp,rye,0_10,soybean,3130.5,0.278499951,1892.75,48.66666667,15.01666667,6.116666667,30.33333333,143.3333333,1863.5,391.6666667,14.11111111,0.85,-0.25,5.777777778,0.165563852,21.43922114
MN,rt,none,0_10,soybean,3248.25,0.303692022,1892.749999,43.5,14.85,6.29,26.7,117.6,1875.8,407.9,4.5,1.53,-0.216666667,-9.833333333,0.211785632,21.5138299
MN,rt,rye,0_10,soybean,3614,0.267363183,1892.750001,44.25,14.875,6.175,25.25,136,1858.25,401.5,1.416666667,-0.025,0.133333333,-16.16666667,0.213191931,21.64265051
PA,cp,none,0_10,maize,9172,0.349885568,5557.450881,31.5,7.492857143,6.15,30.42857143,74.35714286,1114.357143,85.35714286,-2.05,-0.0175,0.005,-21.85,0.215682894,21.83713098
PA,cp,rye,0_10,maize,10166,0.332816584,5511.103765,31.35714286,7.828571429,6.271428571,32.07142857,82.92857143,1183,91.07142857,-1.225,-0.8425,0.03,-17.65,0.211449286,21.3261222
PA,rt,none,0_10,maize,10764,0.228282877,6729.679037,31.15384615,7.676923077,6.061538462,40.92307692,68.69230769,1102.153846,86.92307692,-2.545454545,-0.787878788,-0.254545455,-7.606060606,0.209195067,21.61519348
PA,rt,rye,0_10,maize,10748.25,0.210691806,6942.653189,31.57142857,7.392857143,5.985714286,33.78571429,68.28571429,1047.928571,83,-2.5,-0.930555556,-0.063888889,-19.27777778,0.231977657,21.41643679
PA,cp,none,0_10,soybean,3140,0.353341931,1285.062499,31.5,7.492857143,6.15,30.42857143,74.35714286,1114.357143,85.35714286,-2.05,-0.0175,0.005,-21.85,0.215682894,21.83713098
PA,cp,rye,0_10,soybean,3111,0.373876948,1285.062501,31.35714286,7.828571429,6.271428571,32.07142857,82.92857143,1183,91.07142857,-1.225,-0.8425,0.03,-17.65,0.211449286,21.3261222
PA,rt,none,0_10,soybean,2999.5,0.390603927,1285.062501,31.15384615,7.676923077,6.061538462,40.92307692,68.69230769,1102.153846,86.92307692,-2.545454545,-0.787878788,-0.254545455,-7.606060606,0.209195067,21.61519348
PA,rt,rye,0_10,soybean,2960.75,0.364849831,1285.062499,31.57142857,7.392857143,5.985714286,33.78571429,68.28571429,1047.928571,83,-2.5,-0.930555556,-0.063888889,-19.27777778,0.231977657,21.41643679
